layer,row,col,value
fc1,18,8,-0.070508
fc1,18,9,0.009139
fc1,18,10,0.271205
fc1,19,0,0.200003
fc1,19,1,-0.26044
fc1,19,2,-0.122247
fc1,19,3,-0.185159
fc1,19,4,0.088873
fc1,19,5,-0.169257
fc1,19,6,-0.296786
fc1,19,7,-0.032288
fc1,19,8,0.162262
fc1,19,9,0.063052
fc1,19,10,0.193323
fc1,20,0,-0.186535
fc1,20,1,-0.311503
fc1,20,2,0.239147
fc1,20,3,0.217217
fc1,20,4,-0.243453
fc1,20,5,0.305059
fc1,20,6,0.102279
fc1,20,7,0.171394
fc1,20,8,0.167407
fc1,20,9,0.055085
fc1,20,10,-0.220467
fc1,21,0,-0.207753
fc1,21,1,0.186884
fc1,21,2,0.131724
fc1,21,3,-0.115704
fc1,21,4,0.428923
fc1,21,5,-0.006625
fc1,21,6,-0.209601
fc1,21,7,-0.242109
fc1,21,8,-0.026297
fc1,21,9,0.18086
fc1,21,10,0.242514
fc1,22,0,0.140172
fc1,22,1,-0.177829
fc1,22,2,0.037464
fc1,22,3,0.186333
fc1,22,4,-0.31796
fc1,22,5,-0.000684
fc1,22,6,0.070108
fc1,22,7,0.059822
fc1,22,8,0.276731
fc1,22,9,0.259698
fc1,22,10,0.021949
fc1,23,0,-0.122411
fc1,23,1,0.226429
fc1,23,2,-0.267308
fc1,23,3,0.226387
fc1,23,4,0.196664
fc1,23,5,-0.364289
fc1,23,6,0.134997
fc1,23,7,-0.108862
fc1,23,8,0.18168
fc1,23,9,0.19804
fc1,23,10,0.17135
fc1,24,0,-0.335657
fc1,24,1,0.098014
fc1,24,2,0.094456
fc1,24,3,0.012709
fc1,24,4,0.233368
fc1,24,5,-0.116173
fc1,24,6,-0.115848
fc1,24,7,0.220647
fc1,24,8,-0.096628
fc1,24,9,-0.165653
fc1,24,10,-0.084297
fc1,25,0,0.216247
fc1,25,1,-0.288263
fc1,25,2,0.038345
fc1,25,3,-0.225857
fc1,25,4,-0.200678
fc1,25,5,0.102409
fc1,25,6,0.155163
fc1,25,7,-0.143313
fc1,25,8,0.122386
fc1,25,9,-0.097133
fc1,25,10,-0.173986
fc1,26,0,-0.393593
fc1,26,1,0.100369
fc1,26,2,0.035593
fc1,26,3,-0.079064
fc1,26,4,0.045229
fc1,26,5,0.120843
fc1,26,6,-0.09768
fc1,26,7,0.026884
fc1,26,8,0.185588
fc1,26,9,-0.002373
fc1,26,10,0.00468
fc1,27,0,-0.034997
fc1,27,1,-0.012518
fc1,27,2,0.042358
fc1,27,3,0.061841
fc1,27,4,0.309252
fc1,27,5,-0.281191
fc1,27,6,-0.015944
fc1,27,7,-0.2934
fc1,27,8,0.106136
fc1,27,9,0.04829
fc1,27,10,0.214332
fc1,28,0,0.140595
fc1,28,1,-0.021308
fc1,28,2,-0.150514
fc1,28,3,0.178363
fc1,28,4,0.114269
fc1,28,5,0.149605
fc1,28,6,-0.034122
fc1,28,7,-0.306753
fc1,28,8,0.27046
fc1,28,9,0.280379
fc1,28,10,0.1339
fc1,29,0,0.080471
fc1,29,1,0.124455
fc1,29,2,-0.217535
fc1,29,3,-0.079498
fc1,29,4,0.047749
fc1,29,5,0.202784
fc1,29,6,-0.217518
fc1,29,7,-0.122664
fc1,29,8,0.138945
fc1,29,9,0.251462
fc1,29,10,-0.206735
fc1,30,0,0.197127
fc1,30,1,0.111563
fc1,30,2,0.081826
fc1,30,3,-0.077222
fc1,30,4,-0.144583
fc1,30,5,0.326636
fc1,30,6,-0.303305
fc1,30,7,-0.13696
fc1,30,8,0.212875
fc1,30,9,0.075007
fc1,30,10,0.055878
fc1,31,0,0.067167
fc1,31,1,0.116282
fc1,31,2,0.196417
fc1,31,3,-0.187287
fc1,31,4,-0.065585
fc1,31,5,-0.188581
fc1,31,6,-0.196458
fc1,31,7,0.115164
fc1,31,8,0.268121
fc1,31,9,0.109106
fc1,31,10,-0.12655
fc1,32,0,-0.158535
fc1,32,1,-0.212521
fc1,32,2,-0.067152
fc1,32,3,0.085172
fc1,32,4,0.155862
fc1,32,5,-0.233994
fc1,32,6,-0.122609
fc1,32,7,0.18634
fc1,32,8,-0.208663
fc1,32,9,-0.159238
fc1,32,10,0.110646
fc1,33,0,-0.233878
fc1,33,1,0.134983
fc1,33,2,-0.117046
fc1,33,3,-0.147612
fc1,33,4,0.254513
fc1,33,5,-0.094542
fc1,33,6,0.337505
fc1,33,7,-0.276504
fc1,33,8,-0.116942
fc1,33,9,0.357375
fc1,33,10,0.064738
fc1,34,0,-0.183006
fc1,34,1,0.082001
fc1,34,2,-0.01596
fc1,34,3,-0.06394
fc1,34,4,0.20962
fc1,34,5,-0.33064
fc1,34,6,-0.142536
fc1,34,7,0.164263
fc1,34,8,0.199293
fc1,34,9,0.058498
fc1,34,10,0.075771
fc1,35,0,0.416137
fc1,35,1,-0.003703
fc1,35,2,0.002422
fc1,35,3,0.242691
fc1,35,4,-0.368189
fc1,35,5,0.06878
fc1,35,6,0.053724
fc1,35,7,-0.211009
fc1,35,8,0.218112
fc1,35,9,0.083729
fc1,35,10,-0.12704
fc1,36,0,0.177915
fc1,36,1,-0.263201
fc1,36,2,-0.238107
fc1,36,3,-0.055636
fc1,36,4,-0.168122
fc1,36,5,0.00381
fc1,36,6,-0.25386
fc1,36,7,-0.291762
fc1,36,8,0.131788
fc1,36,9,0.280496
fc1,36,10,-0.296448
fc1,37,0,-0.166986
fc1,37,1,-0.011558
fc1,37,2,0.015919
fc1,37,3,-0.262344
fc1,37,4,0.249059
fc1,37,5,0.14722
fc1,37,6,-0.164613
fc1,37,7,0.055746
fc1,37,8,0.102117
fc1,37,9,-0.089317
fc1,37,10,-0.044979
fc1,38,0,0.284937
fc1,38,1,-0.260754
fc1,38,2,0.083938
fc1,38,3,-0.081974
fc1,38,4,0.177839
fc1,38,5,0.234637
fc1,38,6,-0.004066
fc1,38,7,-0.258326
fc1,38,8,-0.269936
fc1,38,9,0.020987
fc1,38,10,0.206455
fc1,39,0,-0.374309
fc1,39,1,0.13601
fc1,39,2,-0.168646
fc1,39,3,0.081415
fc1,39,4,0.080574
fc1,39,5,0.082927
fc1,39,6,-0.204555
fc1,39,7,0.193263
fc1,39,8,0.198353
fc1,39,9,-0.052508
fc1,39,10,0.234863
fc1,40,0,0.129561
fc1,40,1,-0.059812
fc1,40,2,0.114248
fc1,40,3,0.023211
fc1,40,4,0.048038
fc1,40,5,-0.315519
fc1,40,6,0.237725
fc1,40,7,-0.263428
fc1,40,8,-0.11499
fc1,40,9,0.19003
fc1,40,10,0.195585
fc1,41,0,0.093356
fc1,41,1,0.012258
fc1,41,2,0.183279
fc1,41,3,-0.217053
fc1,41,4,0.188984
fc1,41,5,0.247913
fc1,41,6,-0.00069
fc1,41,7,0.268037
fc1,41,8,0.165878
fc1,41,9,-0.024794
fc1,41,10,0.027299
fc1,42,0,-0.389141
fc1,42,1,-0.046283
fc1,42,2,-0.232069
fc1,42,3,0.067303
fc1,42,4,0.290018
fc1,42,5,0.220592
fc1,42,6,0.235376
fc1,42,7,0.155781
fc1,42,8,-0.116831
fc1,42,9,-0.15623
fc1,42,10,0.205299
fc1,43,0,0.175411
fc1,43,1,0.023891
fc1,43,2,0.249999
fc1,43,3,0.296184
fc1,43,4,0.330072
fc1,43,5,0.174917
fc1,43,6,-0.223023
fc1,43,7,0.216884
fc1,43,8,0.132971
fc1,43,9,-0.173824
fc1,43,10,0.124203
fc1,44,0,0.144371
fc1,44,1,0.233368
fc1,44,2,0.252847
fc1,44,3,-0.04194
fc1,44,4,0.039237
fc1,44,5,-0.145543
fc1,44,6,-0.010637
fc1,44,7,-0.07095
fc1,44,8,0.117432
fc1,44,9,0.145079
fc1,44,10,0.16656
fc1,45,0,-0.116438
fc1,45,1,0.198021
fc1,45,2,0.09515
fc1,45,3,0.111941
fc1,45,4,0.153364
fc1,45,5,-0.111812
fc1,45,6,-0.094527
fc1,45,7,-0.221728
fc1,45,8,-0.089074
fc1,45,9,-0.085664
fc1,45,10,-0.066264
fc1,46,0,0.01585
fc1,46,1,0.295516
fc1,46,2,-0.052545
fc1,46,3,0.174277
fc1,46,4,0.237393
fc1,46,5,0.25245
fc1,46,6,-0.105166
fc1,46,7,-0.176161
fc1,46,8,0.278125
fc1,46,9,0.031006
fc1,46,10,-0.10045
fc1,47,0,0.047027
fc1,47,1,0.123217
fc1,47,2,-0.152691
fc1,47,3,-0.156102
fc1,47,4,0.105781
fc1,47,5,-0.046492
fc1,47,6,0.123949
fc1,47,7,-0.141198
fc1,47,8,-0.120251
fc1,47,9,-0.110616
fc1,47,10,-0.296197
fc1,48,0,-0.086304
fc1,48,1,-0.275494
fc1,48,2,-0.172952
fc1,48,3,0.011281
fc1,48,4,-0.220348
fc1,48,5,-0.125285
fc1,48,6,0.019247
fc1,48,7,0.148945
fc1,48,8,0.019364
fc1,48,9,-0.072619
fc1,48,10,0.116668
fc1,49,0,0.125931
fc1,49,1,-0.020848
fc1,49,2,0.024663
fc1,49,3,-0.229987
fc1,49,4,0.130831
