layer,row,col,value
fc1,0,0,-0.022906
fc1,0,1,-0.056934
fc1,0,2,-0.033208
fc1,0,3,-0.063026
fc1,0,4,0.04237
fc1,0,5,0.061932
fc1,0,6,-0.02467
fc1,0,7,-0.005157
fc1,0,8,0.011276
fc1,0,9,0.064463
fc1,0,10,-0.015041
fc1,0,11,0.030498
fc1,0,12,-0.055552
fc1,0,13,-0.044241
fc1,0,14,0.00521
fc1,0,15,-0.008906
fc1,0,16,0.081608
fc1,0,17,0.025178
fc1,0,18,-0.024883
fc1,0,19,-0.015154
fc1,0,20,-0.003627
fc1,0,21,-0.057845
fc1,0,22,0.089771
fc1,0,23,0.005073
fc1,0,24,0.084437
fc1,0,25,-0.061053
fc1,0,26,0.033738
fc1,0,27,-0.088009
fc1,0,28,-0.0677
fc1,0,29,0.044575
fc1,0,30,-0.022458
fc1,0,31,-0.024877
fc1,0,32,-0.063568
fc1,0,33,-0.010448
fc1,0,34,-0.001744
fc1,0,35,-0.018636
fc1,0,36,-0.039272
fc1,0,37,-0.039439
fc1,0,38,0.095418
fc1,0,39,0.028924
fc1,0,40,0.020963
fc1,0,41,-0.037544
fc1,0,42,0.063031
fc1,0,43,0.086871
fc1,0,44,0.023156
fc1,0,45,0.012531
fc1,0,46,-0.015418
fc1,0,47,0.008882
fc1,0,48,0.031036
fc1,0,49,0.05807
fc1,0,50,-0.02714
fc1,0,51,-0.033745
fc1,0,52,0.022881
fc1,0,53,-0.006884
fc1,0,54,0.053066
fc1,0,55,-0.055193
fc1,0,56,-0.021813
fc1,0,57,0.066514
fc1,0,58,0.037227
fc1,0,59,-0.023376
fc1,0,60,0.067901
fc1,0,61,0.05598
fc1,0,62,-0.028973
fc1,0,63,6.1e-05
fc1,0,64,-0.067166
fc1,0,65,0.013935
fc1,0,66,-0.031167
fc1,0,67,0.00035
fc1,0,68,-0.012954
fc1,0,69,0.013068
fc1,0,70,-0.017017
fc1,0,71,-0.096887
fc1,0,72,0.062738
fc1,0,73,0.060864
fc1,0,74,-0.033468
fc1,0,75,0.0358
fc1,0,76,-0.020777
fc1,0,77,0.001046
fc1,0,78,0.036106
fc1,0,79,0.063947
fc1,0,80,-0.016113
fc1,0,81,-0.054122
fc1,0,82,-0.051369
fc1,0,83,0.046238
fc1,0,84,-0.038676
fc1,0,85,-0.03599
fc1,0,86,0.025177
fc1,0,87,-0.026666
fc1,0,88,-0.006242
fc1,0,89,-0.06691
fc1,0,90,-0.035054
fc1,0,91,-0.000365
fc1,0,92,-0.050854
fc1,0,93,0.046323
fc1,0,94,-0.079549
fc1,0,95,-0.07495
fc1,0,96,0.106632
fc1,0,97,0.006854
fc1,0,98,0.034326
fc1,0,99,0.029345
fc1,0,100,0.066866
fc1,0,101,-0.018147
fc1,0,102,0.003921
fc1,0,103,0.025353
fc1,0,104,-0.004907
fc1,0,105,-0.026214
fc1,0,106,-0.044962
fc1,0,107,-0.009447
fc1,0,108,-0.062278
fc1,0,109,-0.016373
fc1,0,110,-0.069818
fc1,0,111,-0.041952
fc1,0,112,0.035211
fc1,0,113,0.005804
fc1,0,114,0.016228
fc1,0,115,-0.065943
fc1,0,116,-0.045086
fc1,0,117,0.083365
fc1,0,118,0.025433
fc1,0,119,-0.017638
fc1,0,120,0.095147
fc1,0,121,-0.020252
fc1,0,122,0.020975
fc1,0,123,0.074074
fc1,0,124,0.039033
fc1,0,125,-0.024765
fc1,0,126,-0.100264
fc1,0,127,0.063786
fc1,0,128,-0.033401
fc1,0,129,-0.042626
fc1,0,130,-0.006811
fc1,0,131,-0.006276
